iter	RMSE
0	1.796357008
1	1.737073396
2	1.68255296
3	1.629929546
4	1.582610596
5	1.533145505
6	1.486813518
7	1.442054503
8	1.400776451
9	1.359125392
10	1.322305142
11	1.287106433
12	1.25330236
13	1.2204211
14	1.193864993
15	1.166108894
16	1.141228231
17	1.113652729
18	1.089599739
19	1.066824697
20	1.044033447
21	1.022762318
22	1.003242242
23	0.9847090064
24	0.967439674
25	0.9494587568
26	0.9356981032
27	0.9211722774
28	0.9076660126
29	0.8945784436
30	0.8818919668
31	0.8702303459
32	0.8602135905
33	0.8510187579
34	0.8414870688
35	0.8329307936
36	0.8250384058
37	0.8171672844
38	0.8098551912
39	0.8033168663
40	0.7960968121
41	0.7904404303
42	0.7845901002
43	0.7790816017
44	0.7734781045
45	0.7685677629
46	0.7647537742
47	0.7604918132
48	0.7563726176
49	0.7520571617
50	0.7481893133
51	0.7444047861
52	0.7405707683
53	0.736516981
54	0.7335894955
55	0.7303137051
56	0.7276776707
57	0.7251951296
58	0.7232356911
59	0.7203131091
60	0.7180092809
61	0.7157029791
62	0.7136227451
63	0.711653031
64	0.7099413494
65	0.7080115047
66	0.7055526683
67	0.7032329429
68	0.7010101719
69	0.6988234209
70	0.6971493812
71	0.6952546711
72	0.693206936
73	0.6919737679
74	0.690256467
75	0.6890066221
76	0.6872367694
77	0.6854789765
78	0.6834960435
79	0.6818118771
80	0.6805751246
81	0.6794036082
82	0.6777627659
83	0.6764146384
84	0.6754874276
85	0.6746942209
86	0.6734160745
87	0.6724431539
88	0.6711201181
89	0.6695499221
90	0.6683858152
91	0.6667560625
92	0.6656846655
93	0.6645468222
94	0.6636625228
95	0.6624319351
96	0.6612516045
97	0.6605208211
98	0.6593460288
99	0.6581747173
100	0.6571310326
101	0.6560170988
102	0.6546337304
103	0.6536151479
104	0.6523486287
105	0.6512929239
106	0.6501549975
107	0.6491952487
108	0.6481233735
109	0.64763173
110	0.6468781085
111	0.6456329242
112	0.6443210215
113	0.6431290359
114	0.6424778878
115	0.641551738
116	0.6408778973
117	0.6397667006
118	0.638590096
119	0.6377417454
120	0.6366863835
121	0.6359056206
122	0.6348478703
123	0.6341942158
124	0.6334957056
125	0.6328764909
126	0.6320015941
127	0.6312281935
128	0.6306468321
129	0.6299416885
130	0.6287169276
131	0.6280924989
132	0.6272172439
133	0.6264449376
134	0.6258689758
135	0.6248834702
136	0.6235467855
137	0.6226741381
138	0.621392236
139	0.6198335763
140	0.6191627582
141	0.6184685028
142	0.6170584671
143	0.6164077802
144	0.6150564016
145	0.6142449493
146	0.6139878208
147	0.6135053594
148	0.6123237609
149	0.6111568256
150	0.6104952883
151	0.6098292174
152	0.6087463767
153	0.6078004236
154	0.606903597
155	0.6060429948
156	0.6050289882
157	0.6044201631
158	0.6035879142
159	0.6031310792
160	0.6024449996
161	0.6015858997
162	0.601114747
163	0.5999624507
164	0.5993932919
165	0.5984474584
166	0.5975393603
167	0.5967371935
168	0.5959039737
169	0.5953630893
170	0.5948758068
171	0.5941099867
172	0.5930086586
173	0.5923872324
174	0.5915862887
175	0.5907815589
176	0.5899319987
177	0.5894319078
178	0.5883404856
179	0.5876226428
180	0.5870743959
181	0.5866199622
182	0.5860438583
183	0.5853030985
184	0.5847052098
185	0.5838301364
