iter	Passed	Remaining
0	3	3321
1	6	3145
2	8	2892
3	10	2731
4	13	2663
5	15	2608
6	18	2601
7	20	2574
8	23	2544
9	25	2570
10	28	2534
11	30	2519
12	33	2507
13	35	2490
14	37	2484
15	40	2462
16	42	2438
17	44	2408
18	46	2392
19	48	2364
20	50	2336
21	52	2337
22	54	2329
23	57	2342
24	59	2325
25	61	2318
26	63	2299
27	66	2297
28	68	2278
29	70	2265
30	72	2252
31	74	2239
32	75	2226
33	77	2213
34	79	2196
35	81	2193
36	83	2185
37	85	2172
38	87	2160
39	89	2146
40	91	2135
41	93	2127
42	95	2116
43	97	2111
44	99	2108
45	101	2115
46	102	2087
47	104	2081
48	106	2075
49	108	2069
50	111	2068
51	113	2063
52	115	2059
53	117	2052
54	119	2045
55	121	2042
56	122	2033
57	124	2025
58	127	2025
59	129	2021
60	130	2016
61	133	2014
62	134	2007
63	136	2000
64	138	1995
65	140	1989
66	142	1987
67	144	1982
68	146	1976
69	148	1970
70	150	1965
71	152	1960
72	154	1957
73	156	1952
74	158	1954
75	160	1951
76	162	1948
77	164	1941
78	166	1937
79	168	1932
80	169	1928
81	171	1923
82	173	1918
83	175	1913
84	177	1912
85	179	1907
86	181	1902
87	182	1896
88	184	1891
89	186	1887
90	188	1883
91	190	1881
92	192	1875
93	193	1868
94	195	1863
95	197	1861
96	199	1855
97	201	1851
98	202	1847
99	204	1843
100	206	1838
101	208	1833
102	210	1832
103	212	1831
104	214	1826
105	215	1821
106	217	1818
107	219	1815
108	221	1812
109	223	1810
110	225	1805
111	227	1803
112	229	1799
113	230	1795
114	232	1790
115	234	1786
116	236	1782
117	238	1780
118	239	1776
119	241	1773
120	243	1769
121	245	1766
122	247	1763
123	249	1760
124	250	1755
125	252	1752
126	254	1751
127	256	1748
128	258	1747
129	260	1744
130	262	1742
131	264	1739
132	266	1735
133	267	1731
134	269	1727
135	271	1723
136	273	1722
137	275	1718
138	277	1715
139	278	1712
140	280	1709
141	282	1706
142	284	1704
143	286	1702
144	288	1699
145	290	1697
146	292	1694
147	294	1693
148	296	1691
149	298	1689
150	299	1686
151	301	1683
152	303	1680
153	305	1679
154	307	1677
155	309	1674
156	311	1671
157	313	1669
158	315	1666
159	316	1663
160	318	1661
161	320	1660
162	322	1657
163	324	1655
164	326	1652
165	328	1650
166	330	1648
167	332	1645
168	334	1645
169	336	1644
170	338	1641
